1144859	deu	Wie kurz das Leben doch ist!
2152048	deu	Dieses Wort ist mir nicht gebräuchlich.
3641625	deu	Ich ließ es auf dem Tisch.
4903144	deu	Damals studierte ich noch Pharmazie.
3560163	deu	Bei ihm zuhause herrscht Geldmangel, doch an jedes Raumes Wand steht ein Schrank voller Dank.
5059974	deu	Dies ist die deutsche Flagge.
6569313	deu	Maria könnte das selbst machen.
2021123	deu	Er hat mich gerufen, gibt aber jetzt keine Antwort.
6383951	deu	Es ist nicht möglich, in einer Gemeinschaft zu leben und von dieser frei zu sein.
1203119	deu	Es kommt nie so, wie man denkt. Es kommt so, wie man nie gedacht hat.
1880559	deu	Vielleicht werden einzelne Veranstaltungen aufgeschoben, bis ich komme. Ich will es nicht behaupten, aber möglich ist es immerhin.
1791586	deu	Ich bin in die große Bibliothek gegangen.
5971861	deu	Heute stand Tom knapp vor dem Tod.
2168405	deu	Liisa hatte eine ganz falsche Vorstellung von Schweden.
3087233	deu	Wo liegt die türkische Botschaft?
1393464	deu	Du wirst sehen, dass alle intensiv trainiert haben, und du wirst mit den Ergebnissen zufrieden sein.
353756	deu	Er wird morgen in Paris ankommen.
1975963	deu	Ein Blinder weist dem andern den Weg.
2807546	deu	Glaubst du nicht, dass dies schon zu weit geht?
2395485	deu	Solange der Schuldner mein Geld braucht, muss er mir Zins davon geben.
4878223	deu	Wir müssen uns wieder auf unsere Werte besinnen.
903013	deu	Ich weiß nicht, was ich nun tun soll.
6004733	deu	Die Milch schmeckt sauer wie Zitronen.
1796643	deu	Letzte Nacht bin ich zuhause geblieben, um auf deinen Anruf zu warten.
4815867	deu	Können Sie mir etwas Geld leihen?
3952425	deu	Komm, um mit mir zu sprechen.
967357	deu	Ich halte dieses Mädchen für ehrlich.
1275055	deu	Sie waren dabei, Musik zu hören.
2629506	deu	Wer einmal ein Konzert dieser Sängerin erlebt hat, der lässt sich danach keines mehr entgehen.
4770075	deu	Wir werden keine Angst haben.
1090411	deu	Alle seine Wunden sind äußerlich.
4187819	deu	Sie zitterte beim Aussprechen des heiligen Namens.
5175883	deu	Hat sie das für mich gekauft?
1905244	deu	Es scheint, dass Carol und Will sich getrennt haben.
3347988	deu	Sie verbringt jeden Sonntag mit ihrer Großmutter.
5338049	deu	Die Katze verfolgt das Eichhörnchen.
1790363	deu	Na das wollen wir nicht hoffen.
2379447	deu	Die Menschen werden geboren, die Menschen sterben, und die Zeit dazwischen verbringen sie mit dem Tragen der Digitaluhren.
1074392	deu	Es ist wahr, dass er den ersten Preis gewonnen hat.
1733347	deu	Bei Bioplastik ist längst nicht alles so "grün", wie es scheint.
5888942	deu	Hier wird nur Deutsch gesprochen.
2698290	deu	Ich möchte mit dir noch eine weitere Theatervorstellung besuchen.
1170730	deu	Wie können wir es praktisch umsetzen?
1734163	deu	Es kommt darauf an, was Sie darunter verstehen.
2477252	deu	Alle kräftigen Menschen lieben das Leben.
482836	deu	Ich laufe wie ein Trottel durch den Regen und du bist gar nicht da.
1801902	deu	Bitte bring mich ins Krankenhaus!
2403816	deu	Ein Freund ist ein Mensch, der dir völlig selbstlos schadet.
4158829	deu	Tom hat sich bei einem Zusammenstoß mit einem schweren Gegenstand verletzt.
949722	deu	Personen unter 18 Jahren dürfen noch nicht heiraten.
1248663	deu	Das grenzt an ein Wunder.
1258936	deu	Das solltest du besser nicht tun!
2552948	deu	Auch den letzten Traum zerstört das Fernsehen: Es ist kein Vorteil mehr, Analphabet zu sein.
2315990	deu	Wir trafen ihn in einer fernen Stadt.
1491079	deu	Das Löffelchen ist im Gläschen.
1259441	deu	Ich habe es versucht, konnte es aber nicht.
1196631	deu	Sind in diesem Hotel noch freie Zimmer?
347433	deu	Könnte ich am Morgen duschen?
2868684	deu	Wenn du jetzt nicht einlenkst, bist du die längste Zeit mein Freund gewesen.
4878636	deu	Sie war von hinten Lyzeum, von vorne Museum.
1674374	deu	Eine gescheite Frau hat Millionen Feinde: alle dummen Männer.
3490441	deu	Ich habe mich lediglich mit dem Entwurf von Halbleitern beschäftigt.
1910999	deu	Tom stellte sich mutig der Gefahr.
2134776	deu	Er hat sein ganzes Kapital ins Business reingesteckt.
3426680	deu	Ich werde nächste Woche nach China reisen.
2671525	deu	Wer wird dich trösten, wenn du traurig bist?
1437915	deu	Es ist eine große Party und wir kommen nicht umhin, dass niemand stehen bleibt.
4814469	deu	Tom kann nicht glauben, dass Marie das gerade vorgeschlagen hat.
2781275	deu	Gönnen wir uns eine Pause!
2153600	deu	Die Situation war schwierig, aber Liisa half Markku aus der Klemme.
1823412	deu	Nicht durch Gewalt soll Österreich ertrotzen, was es durch freundlich Werben nicht erhielt.
2263590	deu	Mach mal Ferien — im Esperanto-Land!
2665564	deu	Ich vermute, ich habe verstanden, was du sagen wolltest.
4375062	deu	Tom beschlich die leise Ahnung, dass das alles lauter Blödsinn war.
911146	deu	Dieser Hund wurde darauf abgerichtet, Drogen zu erschnüffeln.
5318869	deu	Energisch in der Sache, sanft in der Vorgehensweise!
610244	deu	Dieses hübsche Baby ist das Ergebnis ihrer Leidenschaft.
1325668	deu	Drei Wochen vor Flugtermin hatte ich noch kein Visum.
5573346	deu	Wer sich Zeit zum Denken nehmen will, muss auch darauf vorbereitet sein.
6615679	deu	Welche Eigenschaften bewundern Sie am meisten an Tom?
2674920	deu	Wenn Sie vorhaben, meine Arbeit zu kritisieren, dann kommen sie zu mir und sagen sie es mir persönlich!
2702013	deu	Auf das Verbrechen folgt die Strafe, auf die Geschichte folgt die Gegenwart.
3101613	deu	Tom ist ein außergewöhnlicher Baseballspieler.
3440949	deu	Was meinst du? Kann man „nerd“ mit „Schlaukauz“ übersetzen?
5758934	deu	Der Glaube an eine höhere Existenz kann Berge versetzen.
3755105	deu	Das deine ist größer als das meine.
6374613	deu	Das soll ein heiliger Ort sein?
5289659	deu	Die Übersetzung ist gut; der Ursprungstext hingegen ist grausig.
1450938	deu	Hoffentlich macht er nicht schlapp, so kurz vor dem Ziel.
2439024	deu	Ein in beiden Definitionen wiederkehrender Bestandteil ist das Wort „Gefahr“.
1875975	deu	Er wendet sich offenbar nicht zurück in die Stadt.
3190978	deu	Ich hätte Appetit auf Sahne.
1579324	deu	Ein Drache ist ein Phantasietier.
4956732	deu	Der Frosch sprang auf die Mauer und rief: „Ich kann Kaschmir sehen!“.
